id,Bound
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,1
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,0
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,1
626,0
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,1
668,1
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,0
711,0
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,0
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,1
739,1
740,1
741,0
742,0
743,0
744,1
745,1
746,1
747,1
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,1
776,0
777,1
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,0
806,0
807,0
808,1
809,1
810,0
811,1
